83.2955 	EXP 	window1: recordFrameIntervals = True
83.3128 	EXP 	window1: recordFrameIntervals = True
83.3293 	EXP 	window1: recordFrameIntervals = True
83.3459 	EXP 	window1: recordFrameIntervals = True
83.3627 	EXP 	window1: recordFrameIntervals = True
83.3804 	EXP 	window1: recordFrameIntervals = True
83.3961 	EXP 	window1: recordFrameIntervals = True
83.4141 	EXP 	window1: recordFrameIntervals = True
83.4293 	EXP 	window1: recordFrameIntervals = True
83.4474 	EXP 	window1: recordFrameIntervals = True
83.4629 	EXP 	window1: recordFrameIntervals = True
83.4812 	EXP 	window1: recordFrameIntervals = True
83.4971 	EXP 	window1: recordFrameIntervals = True
83.5122 	EXP 	window1: recordFrameIntervals = True
83.5293 	EXP 	window1: recordFrameIntervals = True
83.5467 	EXP 	window1: recordFrameIntervals = True
83.5643 	EXP 	window1: recordFrameIntervals = True
83.5813 	EXP 	window1: recordFrameIntervals = True
83.5974 	EXP 	window1: recordFrameIntervals = True
83.6139 	EXP 	window1: recordFrameIntervals = True
83.6296 	EXP 	window1: recordFrameIntervals = True
83.6478 	EXP 	window1: recordFrameIntervals = True
83.6643 	EXP 	window1: recordFrameIntervals = True
83.6807 	EXP 	window1: recordFrameIntervals = True
83.6958 	EXP 	window1: recordFrameIntervals = True
83.7145 	EXP 	window1: recordFrameIntervals = True
83.7311 	EXP 	window1: recordFrameIntervals = True
83.7464 	EXP 	window1: recordFrameIntervals = True
83.7642 	EXP 	window1: recordFrameIntervals = True
83.7811 	EXP 	window1: recordFrameIntervals = True
83.7977 	EXP 	window1: recordFrameIntervals = True
83.8133 	EXP 	window1: recordFrameIntervals = True
83.8311 	EXP 	window1: recordFrameIntervals = True
83.8474 	EXP 	window1: recordFrameIntervals = True
83.8638 	EXP 	window1: recordFrameIntervals = True
83.8796 	EXP 	window1: recordFrameIntervals = True
83.8963 	EXP 	window1: recordFrameIntervals = True
83.9127 	EXP 	window1: recordFrameIntervals = True
83.9297 	EXP 	window1: recordFrameIntervals = True
83.9461 	EXP 	window1: recordFrameIntervals = True
83.9621 	EXP 	window1: recordFrameIntervals = True
83.9793 	EXP 	window1: recordFrameIntervals = True
83.9972 	EXP 	window1: recordFrameIntervals = True
84.0141 	EXP 	window1: recordFrameIntervals = True
84.0305 	EXP 	window1: recordFrameIntervals = True
84.0461 	EXP 	window1: recordFrameIntervals = True
84.0629 	EXP 	window1: recordFrameIntervals = True
84.0786 	EXP 	window1: recordFrameIntervals = True
84.0956 	EXP 	window1: recordFrameIntervals = True
84.1129 	EXP 	window1: recordFrameIntervals = True
84.1306 	EXP 	window1: recordFrameIntervals = True
84.1459 	EXP 	window1: recordFrameIntervals = True
84.1640 	EXP 	window1: recordFrameIntervals = True
84.1797 	EXP 	window1: recordFrameIntervals = True
