SubID	SubExpName	movName	movOrder	keyPress	keyPressTime	frameTime	outcome	
2	actionSegmentation	3backPrac	0	left	2235.456369739004	106.4062999999977	seek	
2	actionSegmentation	3backPrac	0	space	2244.716238740002	106.43966666666437	play	
2	actionSegmentation	3backPrac	0	space	2248.3315908670047	108.40829999999765	pause	
2	actionSegmentation	3backPrac	0	left	2253.214511626007	108.34156666666432	seek	
2	actionSegmentation	3backPrac	0	left	2257.4809874570055	108.30819999999765	seek	
2	actionSegmentation	3backPrac	0	left	2264.531632654005	108.27483333333099	seek	
2	actionSegmentation	3backPrac	0	left	2274.381968599002	108.24146666666432	seek	
2	actionSegmentation	3backPrac	0	left	2278.815670492004	108.20809999999766	seek	
2	actionSegmentation	3backPrac	0	left	2294.3309337080063	108.17473333333099	seek	
2	actionSegmentation	3backPrac	0	left	2302.1641125000024	108.14136666666433	seek	
2	actionSegmentation	3backPrac	0	left	2310.780985111007	108.10799999999766	seek	
2	actionSegmentation	3backPrac	0	left	2315.5467100810056	108.074633333331	seek	
2	actionSegmentation	3backPrac	0	left	2319.9964730670035	108.04126666666433	seek	
2	actionSegmentation	3backPrac	0	left	2324.3456173950035	108.00789999999766	seek	
2	actionSegmentation	3backPrac	0	left	2328.7130456990053	107.974533333331	seek	
2	actionSegmentation	3backPrac	0	left	2333.012702128006	107.94116666666433	seek	
2	actionSegmentation	3backPrac	0	left	2343.0801247940035	107.90779999999766	seek	
2	actionSegmentation	3backPrac	0	left	2347.345670324001	107.874433333331	seek	
2	actionSegmentation	3backPrac	0	left	2351.544890587007	107.84106666666433	seek	
2	actionSegmentation	3backPrac	0	space	2360.128787653004	107.874433333331	play	
2	actionSegmentation	3backPrac	0	space	2367.1929079690017	113.31319999999754	pause	
2	actionSegmentation	3backPrac	0	space	2371.3762956370047	113.31319999999754	play	
2	actionSegmentation	3backPrac	0	space	2376.712747739002	117.01689999999745	pause	
2	actionSegmentation	3backPrac	0	left	2384.095630323005	116.95016666666412	seek	
2	actionSegmentation	3backPrac	0	left	2387.913012708006	116.91679999999745	seek	
2	actionSegmentation	3backPrac	0	left	2391.710619760008	116.88343333333079	seek	
2	actionSegmentation	3backPrac	0	left	2395.5609760350053	116.85006666666412	seek	
2	actionSegmentation	3backPrac	0	left	2399.527867145007	116.81669999999745	seek	
2	actionSegmentation	3backPrac	0	left	2403.3431598010065	116.78333333333079	seek	
2	actionSegmentation	3backPrac	0	left	2407.2447895570076	116.74996666666412	seek	
2	actionSegmentation	3backPrac	0	left	2411.276434432002	116.71659999999746	seek	
2	actionSegmentation	3backPrac	0	left	2415.309565980002	116.68323333333079	seek	
2	actionSegmentation	3backPrac	0	left	2422.7768884110046	116.64986666666412	seek	
2	actionSegmentation	3backPrac	0	space	2427.3600064970015	116.68323333333079	play	
2	actionSegmentation	3backPrac	0	space	2429.960849478004	117.6508666666641	pause	
