27.4291 	EXP 	window1: recordFrameIntervals = True
27.4469 	EXP 	window1: recordFrameIntervals = True
27.4633 	EXP 	window1: recordFrameIntervals = True
27.4803 	EXP 	window1: recordFrameIntervals = True
27.4957 	EXP 	window1: recordFrameIntervals = True
27.5128 	EXP 	window1: recordFrameIntervals = True
27.5293 	EXP 	window1: recordFrameIntervals = True
27.5470 	EXP 	window1: recordFrameIntervals = True
27.5625 	EXP 	window1: recordFrameIntervals = True
27.5794 	EXP 	window1: recordFrameIntervals = True
27.5960 	EXP 	window1: recordFrameIntervals = True
27.6135 	EXP 	window1: recordFrameIntervals = True
27.6303 	EXP 	window1: recordFrameIntervals = True
27.6461 	EXP 	window1: recordFrameIntervals = True
27.6638 	EXP 	window1: recordFrameIntervals = True
27.6799 	EXP 	window1: recordFrameIntervals = True
27.6969 	EXP 	window1: recordFrameIntervals = True
27.7127 	EXP 	window1: recordFrameIntervals = True
27.7292 	EXP 	window1: recordFrameIntervals = True
27.7469 	EXP 	window1: recordFrameIntervals = True
27.7636 	EXP 	window1: recordFrameIntervals = True
27.7795 	EXP 	window1: recordFrameIntervals = True
27.7959 	EXP 	window1: recordFrameIntervals = True
27.8132 	EXP 	window1: recordFrameIntervals = True
27.8291 	EXP 	window1: recordFrameIntervals = True
27.8458 	EXP 	window1: recordFrameIntervals = True
27.8637 	EXP 	window1: recordFrameIntervals = True
27.8799 	EXP 	window1: recordFrameIntervals = True
27.8969 	EXP 	window1: recordFrameIntervals = True
27.9126 	EXP 	window1: recordFrameIntervals = True
27.9292 	EXP 	window1: recordFrameIntervals = True
27.9457 	EXP 	window1: recordFrameIntervals = True
27.9625 	EXP 	window1: recordFrameIntervals = True
27.9789 	EXP 	window1: recordFrameIntervals = True
27.9970 	EXP 	window1: recordFrameIntervals = True
28.0131 	EXP 	window1: recordFrameIntervals = True
28.0302 	EXP 	window1: recordFrameIntervals = True
28.0466 	EXP 	window1: recordFrameIntervals = True
28.0633 	EXP 	window1: recordFrameIntervals = True
28.0791 	EXP 	window1: recordFrameIntervals = True
28.0958 	EXP 	window1: recordFrameIntervals = True
